dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,logreg,1881,29,25,306
Half-Flipped,logreg,1882,29,26,306
Half-Flipped,logreg,1885,29,29,306
Half-Flipped,logreg,1888,29,32,306
Half-Flipped,logreg,1890,29,34,306
Half-Flipped,logreg,1893,29,37,306
Half-Flipped,logreg,1897,29,41,306
Half-Flipped,logreg,1898,29,42,306
Half-Flipped,logreg,1945,30,25,306
Half-Flipped,logreg,1946,30,26,306
Half-Flipped,logreg,1949,30,29,306
Half-Flipped,logreg,2015,31,31,306
Half-Flipped,logreg,2016,31,32,306
Half-Flipped,logreg,2047,31,63,306
Half-Flipped,logreg,2077,32,29,306
Half-Flipped,logreg,2078,32,30,306
Half-Flipped,logreg,2080,32,32,306
Half-Flipped,logreg,2081,32,33,306
Half-Flipped,logreg,2137,33,25,306
Half-Flipped,logreg,2138,33,26,306
Half-Flipped,logreg,2142,33,30,306
Half-Flipped,logreg,2146,33,34,306
Half-Flipped,logreg,2154,33,42,306
Half-Flipped,logreg,2155,33,43,306
Half-Flipped,logreg,2202,34,26,306
Half-Flipped,logreg,2203,34,27,306
Half-Flipped,logreg,2208,34,32,306
Half-Flipped,logreg,2213,34,37,306
Half-Flipped,logreg,2238,34,62,306
Half-Flipped,logreg,2266,35,26,306
Half-Flipped,logreg,2273,35,33,306
Half-Flipped,logreg,2275,35,35,306
Half-Flipped,logreg,2276,35,36,306
Half-Flipped,logreg,2277,35,37,306
Half-Flipped,logreg,2278,35,38,306
Half-Flipped,logreg,2302,35,62,306
Half-Flipped,logreg,2330,36,26,306
Half-Flipped,logreg,2332,36,28,306
Half-Flipped,logreg,2367,36,63,306
Half-Flipped,logreg,2393,37,25,306
Half-Flipped,logreg,2395,37,27,306
Half-Flipped,logreg,2398,37,30,306
Half-Flipped,logreg,2403,37,35,306
Half-Flipped,logreg,2457,38,25,306
Half-Flipped,logreg,2466,38,34,306
Half-Flipped,logreg,2467,38,35,306
Half-Flipped,logreg,2469,38,37,306
Half-Flipped,logreg,2470,38,38,306
Half-Flipped,logreg,2471,38,39,306
Half-Flipped,logreg,2517,39,21,306
Half-Flipped,logreg,2520,39,24,306
Half-Flipped,logreg,2522,39,26,306
Half-Flipped,logreg,2523,39,27,306
Half-Flipped,logreg,2525,39,29,306
Half-Flipped,logreg,2530,39,34,306
Half-Flipped,logreg,2580,40,20,306
Half-Flipped,logreg,2582,40,22,306
Half-Flipped,logreg,2583,40,23,306
Half-Flipped,logreg,2585,40,25,306
Half-Flipped,logreg,2587,40,27,306
Half-Flipped,logreg,2595,40,35,306
Half-Flipped,logreg,2598,40,38,306
Half-Flipped,logreg,2599,40,39,306
Half-Flipped,logreg,2600,40,40,306
Half-Flipped,logreg,2605,40,45,306
Half-Flipped,logreg,2643,41,19,306
Half-Flipped,logreg,2647,41,23,306
Half-Flipped,logreg,2652,41,28,306
Half-Flipped,logreg,2654,41,30,306
Half-Flipped,logreg,2657,41,33,306
Half-Flipped,logreg,2658,41,34,306
Half-Flipped,logreg,2660,41,36,306
Half-Flipped,logreg,2662,41,38,306
Half-Flipped,logreg,2665,41,41,306
Half-Flipped,logreg,2687,41,63,306
Half-Flipped,logreg,2714,42,26,306
Half-Flipped,logreg,2716,42,28,306
Half-Flipped,logreg,2719,42,31,306
Half-Flipped,logreg,2722,42,34,306
Half-Flipped,logreg,2726,42,38,306
Half-Flipped,logreg,2727,42,39,306
Half-Flipped,logreg,2777,43,25,306
Half-Flipped,logreg,2781,43,29,306
Half-Flipped,logreg,2789,43,37,306
Half-Flipped,logreg,2803,43,51,306
Half-Flipped,logreg,2804,43,52,306
Half-Flipped,logreg,2826,44,10,306
Half-Flipped,logreg,2844,44,28,306
Half-Flipped,logreg,2851,44,35,306
Half-Flipped,logreg,2853,44,37,306
Half-Flipped,logreg,2856,44,40,306
Half-Flipped,logreg,2857,44,41,306
Half-Flipped,logreg,2866,44,50,306
Half-Flipped,logreg,2867,44,51,306
Half-Flipped,logreg,2868,44,52,306
Half-Flipped,logreg,2879,44,63,306
Half-Flipped,logreg,2893,45,13,306
Half-Flipped,logreg,2894,45,14,306
Half-Flipped,logreg,2896,45,16,306
Half-Flipped,logreg,2902,45,22,306
Half-Flipped,logreg,2903,45,23,306
Half-Flipped,logreg,2910,45,30,306
Half-Flipped,logreg,2912,45,32,306
Half-Flipped,logreg,2914,45,34,306
Half-Flipped,logreg,2915,45,35,306
Half-Flipped,logreg,2917,45,37,306
Half-Flipped,logreg,2919,45,39,306
Half-Flipped,logreg,2928,45,48,306
Half-Flipped,logreg,2953,46,9,306
Half-Flipped,logreg,2956,46,12,306
Half-Flipped,logreg,2959,46,15,306
Half-Flipped,logreg,2960,46,16,306
Half-Flipped,logreg,2972,46,28,306
Half-Flipped,logreg,2975,46,31,306
Half-Flipped,logreg,2976,46,32,306
Half-Flipped,logreg,2979,46,35,306
Half-Flipped,logreg,2982,46,38,306
Half-Flipped,logreg,2984,46,40,306
Half-Flipped,logreg,2993,46,49,306
Half-Flipped,logreg,2995,46,51,306
Half-Flipped,logreg,3025,47,17,306
Half-Flipped,logreg,3030,47,22,306
Half-Flipped,logreg,3032,47,24,306
Half-Flipped,logreg,3039,47,31,306
Half-Flipped,logreg,3040,47,32,306
Half-Flipped,logreg,3042,47,34,306
Half-Flipped,logreg,3060,47,52,306
Half-Flipped,logreg,3061,47,53,306
Half-Flipped,logreg,3089,48,17,306
Half-Flipped,logreg,3104,48,32,306
Half-Flipped,logreg,3105,48,33,306
Half-Flipped,logreg,3110,48,38,306
Half-Flipped,logreg,3119,48,47,306
Half-Flipped,logreg,3120,48,48,306
Half-Flipped,logreg,3124,48,52,306
Half-Flipped,logreg,3150,49,14,306
Half-Flipped,logreg,3152,49,16,306
Half-Flipped,logreg,3168,49,32,306
Half-Flipped,logreg,3184,49,48,306
Half-Flipped,logreg,3185,49,49,306
Half-Flipped,logreg,3186,49,50,306
Half-Flipped,logreg,3217,50,17,306
Half-Flipped,logreg,3281,51,17,306
Half-Flipped,logreg,3326,51,62,306
Half-Flipped,logreg,3328,52,0,306
Half-Flipped,logreg,3342,52,14,306
Half-Flipped,logreg,3343,52,15,306
Half-Flipped,logreg,3518,54,62,306
Half-Flipped,logreg,3519,54,63,306
Half-Flipped,logreg,3645,56,61,306
Half-Flipped,logreg,3647,56,63,306
Half-Flipped,logreg,3711,57,63,306
Half-Flipped,logreg,3771,58,59,306
Half-Flipped,logreg,3772,58,60,306
Half-Flipped,logreg,3776,59,0,306
Half-Flipped,logreg,3779,59,3,306
Half-Flipped,logreg,3834,59,58,306
Half-Flipped,logreg,3837,59,61,306
Half-Flipped,logreg,3904,61,0,306
Half-Flipped,logreg,3961,61,57,306
Half-Flipped,logreg,4034,63,2,306
Half-Flipped,logreg,4093,63,61,306
Half-Flipped,logreg,4095,63,63,306
Half-Flipped,svm,2,0,2,306
Half-Flipped,svm,4,0,4,306
Half-Flipped,svm,55,0,55,306
Half-Flipped,svm,58,0,58,306
Half-Flipped,svm,63,0,63,306
Half-Flipped,svm,118,1,54,306
Half-Flipped,svm,121,1,57,306
Half-Flipped,svm,130,2,2,306
Half-Flipped,svm,184,2,56,306
Half-Flipped,svm,192,3,0,306
Half-Flipped,svm,246,3,54,306
Half-Flipped,svm,248,3,56,306
Half-Flipped,svm,253,3,61,306
Half-Flipped,svm,259,4,3,306
Half-Flipped,svm,321,5,1,306
Half-Flipped,svm,379,5,59,306
Half-Flipped,svm,380,5,60,306
Half-Flipped,svm,439,6,55,306
Half-Flipped,svm,440,6,56,306
Half-Flipped,svm,444,6,60,306
Half-Flipped,svm,526,8,14,306
Half-Flipped,svm,527,8,15,306
Half-Flipped,svm,530,8,18,306
Half-Flipped,svm,569,8,57,306
Half-Flipped,svm,620,9,44,306
Half-Flipped,svm,634,9,58,306
Half-Flipped,svm,636,9,60,306
Half-Flipped,svm,640,10,0,306
Half-Flipped,svm,653,10,13,306
Half-Flipped,svm,658,10,18,306
Half-Flipped,svm,659,10,19,306
Half-Flipped,svm,686,10,46,306
Half-Flipped,svm,701,10,61,306
Half-Flipped,svm,702,10,62,306
Half-Flipped,svm,704,11,0,306
Half-Flipped,svm,716,11,12,306
Half-Flipped,svm,720,11,16,306
Half-Flipped,svm,768,12,0,306
Half-Flipped,svm,781,12,13,306
Half-Flipped,svm,784,12,16,306
Half-Flipped,svm,814,12,46,306
Half-Flipped,svm,826,12,58,306
Half-Flipped,svm,843,13,11,306
Half-Flipped,svm,877,13,45,306
Half-Flipped,svm,881,13,49,306
Half-Flipped,svm,892,13,60,306
Half-Flipped,svm,893,13,61,306
Half-Flipped,svm,907,14,11,306
Half-Flipped,svm,911,14,15,306
Half-Flipped,svm,912,14,16,306
Half-Flipped,svm,944,14,48,306
Half-Flipped,svm,973,15,13,306
Half-Flipped,svm,1008,15,48,306
Half-Flipped,svm,1033,16,9,306
Half-Flipped,svm,1036,16,12,306
Half-Flipped,svm,1037,16,13,306
Half-Flipped,svm,1040,16,16,306
Half-Flipped,svm,1056,16,32,306
Half-Flipped,svm,1069,16,45,306
Half-Flipped,svm,1070,16,46,306
Half-Flipped,svm,1075,16,51,306
Half-Flipped,svm,1102,17,14,306
Half-Flipped,svm,1114,17,26,306
Half-Flipped,svm,1118,17,30,306
Half-Flipped,svm,1119,17,31,306
Half-Flipped,svm,1127,17,39,306
Half-Flipped,svm,1133,17,45,306
Half-Flipped,svm,1135,17,47,306
Half-Flipped,svm,1136,17,48,306
Half-Flipped,svm,1150,17,62,306
Half-Flipped,svm,1162,18,10,306
Half-Flipped,svm,1163,18,11,306
Half-Flipped,svm,1165,18,13,306
Half-Flipped,svm,1167,18,15,306
Half-Flipped,svm,1176,18,24,306
