dataset,classifier,pixel_index,row,col,n_selected_by_model
Original,svm_wrapper,2984,46,40,150
Original,svm_wrapper,3032,47,24,150
Original,svm_wrapper,3033,47,25,150
Original,svm_wrapper,3046,47,38,150
Original,svm_wrapper,3047,47,39,150
Original,svm_wrapper,3048,47,40,150
Original,svm_wrapper,3049,47,41,150
Original,svm_wrapper,3098,48,26,150
Original,svm_wrapper,3113,48,41,150
Original,svm_wrapper,3161,49,25,150
Original,svm_wrapper,3164,49,28,150
Original,svm_wrapper,3168,49,32,150
Original,svm_wrapper,3171,49,35,150
Original,svm_wrapper,3173,49,37,150
Original,svm_wrapper,3176,49,40,150
Original,svm_wrapper,3177,49,41,150
Original,svm_wrapper,3178,49,42,150
Original,svm_wrapper,3179,49,43,150
Original,svm_wrapper,3180,49,44,150
Original,svm_wrapper,3226,50,26,150
Original,svm_wrapper,3228,50,28,150
Original,svm_wrapper,3232,50,32,150
Original,svm_wrapper,3243,50,43,150
Original,svm_wrapper,3287,51,23,150
Original,svm_wrapper,3293,51,29,150
Original,svm_wrapper,3296,51,32,150
Original,svm_wrapper,3299,51,35,150
Original,svm_wrapper,3300,51,36,150
Original,svm_wrapper,3305,51,41,150
Original,svm_wrapper,3306,51,42,150
Original,svm_wrapper,3307,51,43,150
Original,svm_wrapper,3352,52,24,150
Original,svm_wrapper,3354,52,26,150
Original,svm_wrapper,3357,52,29,150
Original,svm_wrapper,3360,52,32,150
Original,svm_wrapper,3365,52,37,150
Original,svm_wrapper,3417,53,25,150
Original,svm_wrapper,3421,53,29,150
Original,svm_wrapper,3427,53,35,150
Original,svm_wrapper,3481,54,25,150
Original,svm_wrapper,3485,54,29,150
Original,svm_wrapper,3490,54,34,150
Original,svm_wrapper,3491,54,35,150
Original,svm_wrapper,3549,55,29,150
Original,svm_wrapper,3550,55,30,150
Original,svm_wrapper,3554,55,34,150
