dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,svm,3560,55,40,299
Half-Flipped,svm,3564,55,44,299
Half-Flipped,svm,3577,55,57,299
Half-Flipped,svm,3600,56,16,299
Half-Flipped,svm,3604,56,20,299
Half-Flipped,svm,3625,56,41,299
Half-Flipped,svm,3630,56,46,299
Half-Flipped,svm,3644,56,60,299
Half-Flipped,svm,3707,57,59,299
Half-Flipped,svm,3711,57,63,299
Half-Flipped,svm,3715,58,3,299
Half-Flipped,svm,3772,58,60,299
Half-Flipped,svm,3776,59,0,299
Half-Flipped,svm,3779,59,3,299
Half-Flipped,svm,3905,61,1,299
Half-Flipped,svm,3908,61,4,299
Half-Flipped,svm,3961,61,57,299
Half-Flipped,svm,3963,61,59,299
Half-Flipped,svm,4024,62,56,299
Half-Flipped,svm,4027,62,59,299
Half-Flipped,svm,4031,62,63,299
Half-Flipped,svm,4093,63,61,299
Original,lda,352,5,32,265
Original,lda,354,5,34,265
Original,lda,355,5,35,265
Original,lda,411,6,27,265
Original,lda,412,6,28,265
Original,lda,413,6,29,265
Original,lda,484,7,36,265
Original,lda,537,8,25,265
Original,lda,539,8,27,265
Original,lda,600,9,24,265
Original,lda,605,9,29,265
Original,lda,663,10,23,265
Original,lda,669,10,29,265
Original,lda,680,10,40,265
Original,lda,726,11,22,265
Original,lda,730,11,26,265
Original,lda,733,11,29,265
Original,lda,735,11,31,265
Original,lda,740,11,36,265
Original,lda,743,11,39,265
Original,lda,745,11,41,265
Original,lda,788,12,20,265
Original,lda,797,12,29,265
Original,lda,799,12,31,265
Original,lda,809,12,41,265
Original,lda,852,13,20,265
Original,lda,855,13,23,265
Original,lda,861,13,29,265
Original,lda,865,13,33,265
Original,lda,873,13,41,265
Original,lda,875,13,43,265
Original,lda,923,14,27,265
Original,lda,927,14,31,265
Original,lda,931,14,35,265
Original,lda,937,14,41,265
Original,lda,938,14,42,265
Original,lda,982,15,22,265
Original,lda,984,15,24,265
Original,lda,995,15,35,265
Original,lda,997,15,37,265
Original,lda,1004,15,44,265
Original,lda,1043,16,19,265
Original,lda,1046,16,22,265
Original,lda,1047,16,23,265
Original,lda,1052,16,28,265
Original,lda,1055,16,31,265
Original,lda,1061,16,37,265
Original,lda,1062,16,38,265
Original,lda,1067,16,43,265
Original,lda,1068,16,44,265
Original,lda,1107,17,19,265
Original,lda,1109,17,21,265
Original,lda,1110,17,22,265
Original,lda,1113,17,25,265
Original,lda,1118,17,30,265
Original,lda,1120,17,32,265
Original,lda,1129,17,41,265
Original,lda,1131,17,43,265
Original,lda,1173,18,21,265
Original,lda,1176,18,24,265
Original,lda,1178,18,26,265
Original,lda,1188,18,36,265
Original,lda,1189,18,37,265
Original,lda,1191,18,39,265
Original,lda,1192,18,40,265
Original,lda,1194,18,42,265
Original,lda,1240,19,24,265
Original,lda,1241,19,25,265
Original,lda,1242,19,26,265
Original,lda,1243,19,27,265
Original,lda,1250,19,34,265
Original,lda,1251,19,35,265
Original,lda,1255,19,39,265
Original,lda,1260,19,44,265
Original,lda,1299,20,19,265
Original,lda,1301,20,21,265
Original,lda,1302,20,22,265
Original,lda,1303,20,23,265
Original,lda,1305,20,25,265
Original,lda,1311,20,31,265
Original,lda,1316,20,36,265
Original,lda,1317,20,37,265
Original,lda,1364,21,20,265
Original,lda,1372,21,28,265
Original,lda,1377,21,33,265
Original,lda,1380,21,36,265
Original,lda,1387,21,43,265
Original,lda,1429,22,21,265
Original,lda,1443,22,35,265
Original,lda,1448,22,40,265
Original,lda,1449,22,41,265
Original,lda,1496,23,24,265
Original,lda,1508,23,36,265
Original,lda,1511,23,39,265
Original,lda,1561,24,25,265
Original,lda,1562,24,26,265
Original,lda,1563,24,27,265
Original,lda,1565,24,29,265
Original,lda,1569,24,33,265
Original,lda,1573,24,37,265
Original,lda,1574,24,38,265
Original,lda,1634,25,34,265
Original,lda,1635,25,35,265
Original,lda,1694,26,30,265
Original,lda,1749,27,21,265
Original,lda,1750,27,22,265
Original,lda,1751,27,23,265
Original,lda,1811,28,19,265
Original,lda,1814,28,22,265
Original,lda,1815,28,23,265
Original,lda,1832,28,40,265
Original,lda,1835,28,43,265
Original,lda,1876,29,20,265
Original,lda,1880,29,24,265
Original,lda,1895,29,39,265
Original,lda,1897,29,41,265
Original,lda,1898,29,42,265
Original,lda,2200,34,24,265
Original,lda,2201,34,25,265
Original,lda,2213,34,37,265
Original,lda,2264,35,24,265
Original,lda,2265,35,25,265
Original,lda,2266,35,26,265
Original,lda,2277,35,37,265
Original,lda,2278,35,38,265
Original,lda,2279,35,39,265
Original,lda,2330,36,26,265
Original,lda,2340,36,36,265
Original,lda,2395,37,27,265
Original,lda,2405,37,37,265
Original,lda,2527,39,31,265
Original,lda,2654,41,30,265
Original,lda,2656,41,32,265
Original,lda,2719,42,31,265
Original,lda,2722,42,34,265
Original,lda,2723,42,35,265
Original,lda,2724,42,36,265
Original,lda,2777,43,25,265
Original,lda,2778,43,26,265
Original,lda,2783,43,31,265
